comuna,region,artes_votos,artes_pct,enriquez_ominami_votos,enriquez_ominami_pct,jara_votos,jara_pct,kaiser_votos,kaiser_pct,kast_votos,kast_pct,matthei_votos,matthei_pct,mayne_nicholls_votos,mayne_nicholls_pct,parisi_votos,parisi_pct,blanco_votos,blanco_pct,emitidos_votos,emitidos_pct,nulo_votos,nulo_pct
Alto del Carmen,Atacama,14,0.39,49,1.35,759,20.93,401,11.06,611,16.85,213,5.87,14,0.39,1565,43.16,67,1.76,3810,100.0,117,3.07
Caldera,Atacama,70,0.51,161,1.18,4156,30.46,1964,14.39,2201,16.13,982,7.2,117,0.86,3993,29.27,147,1.04,14170,100.0,379,2.67
Chañaral,Atacama,34,0.38,99,1.1,2785,30.99,909,10.11,1445,16.08,528,5.88,78,0.87,3109,34.59,116,1.23,9399,100.0,296,3.15
Copiapo,Atacama,672,0.63,1275,1.19,27744,25.89,14439,13.48,21704,20.26,7367,6.88,1253,1.17,32695,30.51,1314,1.18,111212,100.0,2749,2.47
Diego de Almagro,Atacama,30,0.38,93,1.17,2432,30.65,917,11.56,1249,15.74,334,4.21,59,0.74,2820,35.54,123,1.47,8361,100.0,304,3.64
Freirina,Atacama,20,0.38,46,0.86,1451,27.28,535,10.06,845,15.89,278,5.23,40,0.75,2103,39.54,96,1.72,5575,100.0,161,2.89
Huasco,Atacama,29,0.41,87,1.23,2130,30.2,931,13.2,1057,14.99,348,4.93,56,0.79,2415,34.24,115,1.55,7405,100.0,237,3.2
Tierra Amarilla,Atacama,40,0.39,111,1.08,2136,20.84,1209,11.8,1857,18.12,433,4.22,98,0.96,4365,42.59,179,1.67,10694,100.0,266,2.49
Vallenar,Atacama,199,0.53,412,1.09,9796,25.87,5191,13.71,6988,18.46,2212,5.84,328,0.87,12733,33.63,592,1.49,39834,100.0,1383,3.47
Alto Biobio,Biobío,19,0.41,96,2.08,746,16.14,393,8.5,1303,28.19,188,4.07,14,0.3,1863,40.31,118,2.4,4917,100.0,177,3.6
Antuco,Biobío,14,0.38,32,0.87,743,20.23,556,15.14,1070,29.14,269,7.33,21,0.57,967,26.33,36,0.94,3833,100.0,125,3.26
Arauco,Biobío,149,0.53,297,1.05,5508,19.46,3263,11.53,8661,30.59,2161,7.63,200,0.71,8072,28.51,359,1.22,29406,100.0,736,2.5
Cabrero,Biobío,97,0.4,234,0.97,3545,14.74,3393,14.1,7139,29.67,1702,7.07,163,0.68,7785,32.36,258,1.03,24937,100.0,621,2.49
Cañete,Biobío,161,0.62,311,1.21,4694,18.22,3314,12.86,9486,36.81,1750,6.79,163,0.63,5890,22.86,286,1.07,26831,100.0,776,2.89
Chiguayante,Biobío,446,0.74,724,1.2,16292,26.9,7380,12.19,13799,22.79,7331,12.11,876,1.45,13706,22.63,556,0.88,63088,100.0,1978,3.14
Concepcion,Biobío,1539,0.93,1714,1.03,46407,28.0,22092,13.33,40142,24.22,24048,14.51,2607,1.57,27218,16.42,1363,0.8,171339,100.0,4209,2.46
Contulmo,Biobío,26,0.52,39,0.79,906,18.28,609,12.29,2110,42.57,268,5.41,30,0.61,969,19.55,52,1.02,5105,100.0,96,1.88
Coronel,Biobío,492,0.6,957,1.17,19127,23.48,9533,11.7,19864,24.38,5427,6.66,707,0.87,25362,31.13,805,0.95,84579,100.0,2305,2.73
Curanilahue,Biobío,105,0.42,264,1.06,5280,21.19,2696,10.82,7154,28.71,1461,5.86,183,0.73,7771,31.19,267,1.03,26006,100.0,825,3.17
Florida,Biobío,65,0.65,132,1.31,1667,16.56,1424,14.14,3331,33.09,933,9.27,73,0.73,2443,24.26,127,1.21,10465,100.0,270,2.58
Hualpen,Biobío,501,0.74,855,1.26,18265,26.99,8717,12.88,15253,22.54,6956,10.28,843,1.25,16293,24.07,567,0.81,70289,100.0,2039,2.9
Hualqui,Biobío,125,0.65,243,1.27,3764,19.63,2207,11.51,4881,25.45,1549,8.08,152,0.79,6257,32.63,226,1.13,19950,100.0,546,2.74
Laja,Biobío,80,0.44,187,1.04,3275,18.14,2306,12.77,4973,27.54,1308,7.24,123,0.68,5806,32.15,194,1.04,18652,100.0,400,2.14
Lebu,Biobío,118,0.64,234,1.27,3681,19.97,2364,12.82,6005,32.57,1176,6.38,147,0.8,4712,25.56,297,1.53,19354,100.0,620,3.2
Lota,Biobío,195,0.54,449,1.23,9497,26.09,4300,11.81,8593,23.6,2201,6.05,265,0.73,10907,29.96,410,1.07,38164,100.0,1347,3.53
Mulchen,Biobío,93,0.42,240,1.07,3731,16.66,2898,12.94,7067,31.55,1276,5.7,130,0.58,6962,31.08,368,1.58,23355,100.0,590,2.53
Nacimiento,Biobío,95,0.46,185,0.89,3406,16.4,2570,12.38,6366,30.66,1318,6.35,193,0.93,6631,31.94,249,1.16,21491,100.0,478,2.22
Negrete,Biobío,19,0.23,85,1.03,1078,13.04,996,12.05,2946,35.63,632,7.64,42,0.51,2470,29.87,120,1.4,8577,100.0,189,2.2
Penco,Biobío,305,0.81,438,1.17,10214,27.19,4324,11.51,8307,22.11,3534,9.41,399,1.06,10045,26.74,442,1.13,39076,100.0,1068,2.73
Quilaco,Biobío,11,0.29,35,0.91,747,19.38,601,15.59,1192,30.93,253,6.56,24,0.62,991,25.71,49,1.23,3995,100.0,92,2.3
Quilleco,Biobío,29,0.35,91,1.1,1199,14.49,1225,14.8,2802,33.86,585,7.07,44,0.53,2301,27.8,87,1.02,8549,100.0,186,2.18
San Pedro de la Paz,Biobío,609,0.67,918,1.01,20227,22.2,11442,12.56,22682,24.9,12507,13.73,1323,1.45,21397,23.49,745,0.79,93889,100.0,2039,2.17
San Rosendo,Biobío,14,0.4,44,1.25,853,24.16,379,10.73,836,23.68,282,7.99,28,0.79,1095,31.01,42,1.15,3654,100.0,81,2.22
Santa Barbara,Biobío,37,0.33,100,0.89,1879,16.65,1637,14.51,3616,32.04,911,8.07,54,0.48,3051,27.04,141,1.2,11743,100.0,317,2.7
Santa Juana,Biobío,75,0.63,125,1.05,2044,17.13,1411,11.83,4196,35.17,907,7.6,92,0.77,3082,25.83,174,1.4,12425,100.0,319,2.57
Talcahuano,Biobío,781,0.72,1217,1.12,26575,24.47,15851,14.6,25338,23.33,11261,10.37,1490,1.37,26071,24.01,984,0.87,112853,100.0,3285,2.91
Tirua,Biobío,50,0.65,86,1.12,1529,19.97,633,8.27,3125,40.82,407,5.32,33,0.43,1793,23.42,131,1.64,7997,100.0,210,2.63
Tome,Biobío,291,0.67,492,1.13,10951,25.22,6110,14.07,11241,25.89,3787,8.72,415,0.96,10129,23.33,543,1.2,45196,100.0,1237,2.74
Tucapel,Biobío,43,0.36,153,1.27,2188,18.16,1436,11.92,3592,29.81,882,7.32,91,0.76,3666,30.42,139,1.11,12535,100.0,345,2.75
Yumbel,Biobío,98,0.54,253,1.38,3536,19.35,2778,15.2,5606,30.68,1628,8.91,119,0.65,4257,23.29,268,1.41,19041,100.0,498,2.62
los Alamos,Biobío,67,0.4,193,1.15,2968,17.67,2076,12.36,5639,33.58,846,5.04,93,0.55,4913,29.25,178,1.02,17467,100.0,494,2.83
los Angeles,Biobío,711,0.46,1322,0.86,22426,14.57,24800,16.12,49589,32.23,14074,9.15,1402,0.91,39547,25.7,1512,0.95,159128,100.0,3745,2.35
Andacollo,Coquimbo,52,0.56,133,1.42,3276,35.07,1059,11.34,1435,15.36,832,8.91,69,0.74,2484,26.6,224,2.26,9905,100.0,341,3.44
Canela,Coquimbo,49,0.64,104,1.35,2648,34.47,695,9.05,1523,19.82,487,6.34,73,0.95,2104,27.39,145,1.81,8004,100.0,176,2.2
Combarbala,Coquimbo,43,0.44,129,1.32,2818,28.91,1264,12.97,1840,18.88,911,9.35,70,0.72,2673,27.42,223,2.16,10326,100.0,355,3.44
Coquimbo,Coquimbo,987,0.62,2074,1.3,43918,27.48,22979,14.38,29267,18.32,17223,10.78,2047,1.28,41302,25.85,2179,1.3,167795,100.0,5819,3.47
Illapel,Coquimbo,108,0.46,273,1.16,7290,30.98,2507,10.65,4311,18.32,1861,7.91,234,0.99,6945,29.52,371,1.51,24582,100.0,682,2.77
Monte Patria,Coquimbo,112,0.49,313,1.36,4813,20.94,2778,12.08,4510,19.62,1302,5.66,157,0.68,9004,39.17,474,1.96,24152,100.0,689,2.85
Ovalle,Coquimbo,396,0.49,940,1.17,19802,24.73,10536,13.16,16334,20.4,6221,7.77,695,0.87,25148,31.41,1291,1.54,83715,100.0,2352,2.81
Paihuano,Coquimbo,30,0.7,66,1.54,1116,25.98,622,14.48,886,20.63,481,11.2,33,0.77,1061,24.7,52,1.16,4469,100.0,122,2.73
Punitaqui,Coquimbo,16,0.17,118,1.28,2041,22.06,1131,12.23,1596,17.25,502,5.43,47,0.51,3799,41.07,168,1.73,9710,100.0,292,3.01
Rio Hurtado,Coquimbo,22,0.58,42,1.1,736,19.27,540,14.14,988,25.86,307,8.04,35,0.92,1150,30.1,64,1.6,4003,100.0,119,2.97
Salamanca,Coquimbo,94,0.47,231,1.15,5403,26.97,2730,13.63,4068,20.31,1603,8.0,166,0.83,5736,28.64,338,1.61,20969,100.0,600,2.86
Vicuña,Coquimbo,131,0.63,207,0.99,5458,26.08,2888,13.8,4168,19.92,1693,8.09,150,0.72,6230,29.77,381,1.73,22040,100.0,734,3.33
la Higuera,Coquimbo,21,0.54,46,1.18,1078,27.69,463,11.89,666,17.11,269,6.91,27,0.69,1323,33.98,71,1.73,4108,100.0,144,3.51
la Serena,Coquimbo,1118,0.67,1818,1.09,47961,28.72,24524,14.68,31644,18.95,21035,12.59,2343,1.4,36575,21.9,1935,1.11,174173,100.0,5220,3.0
los Vilos,Coquimbo,91,0.56,195,1.2,5182,31.99,2117,13.07,3157,19.49,1581,9.76,168,1.04,3710,22.9,234,1.38,16939,100.0,504,2.98
Angol,La Araucanía,174,0.43,323,0.81,6171,15.39,6183,15.42,14461,36.07,2993,7.47,306,0.76,9477,23.64,398,0.96,41400,100.0,914,2.21
Carahue,La Araucanía,107,0.57,244,1.29,3773,19.98,2248,11.9,7001,37.07,1510,7.99,114,0.6,3890,20.6,336,1.7,19725,100.0,502,2.54
Cholchol,La Araucanía,71,0.69,133,1.29,1923,18.62,1174,11.37,3107,30.08,897,8.68,64,0.62,2960,28.66,126,1.17,10726,100.0,271,2.53
Collipulli,La Araucanía,103,0.55,216,1.16,2845,15.29,2564,13.78,7191,38.66,881,4.74,114,0.61,4689,25.21,274,1.41,19369,100.0,492,2.54
Cunco,La Araucanía,64,0.42,143,0.93,3035,19.76,2290,14.91,5235,34.09,1303,8.48,119,0.77,3169,20.63,184,1.15,15967,100.0,425,2.66
Curacautin,La Araucanía,69,0.48,142,0.99,2557,17.75,2622,18.2,5378,37.34,1061,7.37,108,0.75,2466,17.12,164,1.1,14934,100.0,367,2.46
Curarrehue,La Araucanía,35,0.53,56,0.84,1225,18.4,1195,17.95,2434,36.56,404,6.07,44,0.66,1265,19.0,107,1.54,6969,100.0,204,2.93
Ercilla,La Araucanía,50,0.78,123,1.93,1607,25.2,662,10.38,2326,36.48,365,5.72,39,0.61,1204,18.88,101,1.52,6665,100.0,188,2.82
Freire,La Araucanía,123,0.63,306,1.56,3632,18.5,2811,14.32,6543,33.33,1772,9.03,181,0.92,4263,21.72,326,1.59,20547,100.0,590,2.87
Galvarino,La Araucanía,66,0.66,142,1.43,2028,20.38,1030,10.35,3311,33.28,655,6.58,55,0.55,2662,26.76,180,1.74,10371,100.0,242,2.33
Gorbea,La Araucanía,59,0.48,111,0.91,2022,16.55,2321,19.0,4356,35.66,939,7.69,99,0.81,2310,18.91,141,1.11,12653,100.0,295,2.33
Lautaro,La Araucanía,161,0.52,328,1.07,5471,17.77,4346,14.12,10571,34.34,2613,8.49,261,0.85,7035,22.85,354,1.1,32050,100.0,910,2.84
Loncoche,La Araucanía,96,0.5,274,1.42,3924,20.37,3246,16.85,5656,29.36,1511,7.84,175,0.91,4384,22.76,254,1.27,20048,100.0,528,2.63
Lonquimay,La Araucanía,45,0.54,65,0.78,1442,17.38,1479,17.82,3010,36.27,465,5.6,47,0.57,1746,21.04,134,1.55,8642,100.0,209,2.42
Lumaco,La Araucanía,32,0.44,80,1.1,1209,16.64,722,9.94,3356,46.19,340,4.68,24,0.33,1503,20.69,100,1.34,7485,100.0,119,1.59
Melipeuco,La Araucanía,32,0.57,43,0.76,1070,18.93,857,15.16,2003,35.44,397,7.02,35,0.62,1215,21.5,87,1.48,5894,100.0,155,2.63
Nueva Imperial,La Araucanía,216,0.82,396,1.5,5593,21.19,3247,12.3,8446,32.0,2234,8.46,235,0.89,6030,22.84,315,1.15,27337,100.0,625,2.29
Padre las Casas,La Araucanía,349,0.63,684,1.24,10419,18.83,7187,12.99,17440,31.52,4829,8.73,568,1.03,13854,25.04,708,1.23,57506,100.0,1468,2.55
los Sauces,La Araucanía,24,0.39,77,1.26,880,14.41,661,10.83,2818,46.16,342,5.6,26,0.43,1277,20.92,88,1.39,6313,100.0,120,1.9
Chepica,Libertador,37,0.29,144,1.13,2297,18.02,1722,13.51,4430,34.75,1253,9.83,124,0.97,2743,21.51,204,1.54,13286,100.0,332,2.5
Chimbarongo,Libertador,149,0.52,340,1.19,5752,20.07,4051,14.13,7632,26.62,2640,9.21,286,1.0,7816,27.27,291,0.98,29803,100.0,846,2.84
Codegua,Libertador,51,0.46,169,1.54,2558,23.29,1423,12.96,2690,24.49,1010,9.2,103,0.94,2978,27.12,137,1.2,11447,100.0,328,2.87
Coinco,Libertador,29,0.43,85,1.26,1611,23.8,1021,15.08,1896,28.01,734,10.84,89,1.31,1305,19.28,100,1.41,7097,100.0,227,3.2
Coltauco,Libertador,58,0.36,179,1.13,3475,21.85,2215,13.93,4348,27.34,1557,9.79,153,0.96,3921,24.65,218,1.32,16573,100.0,449,2.71
Doñihue,Libertador,86,0.49,210,1.2,4439,25.46,2332,13.38,4235,24.29,1732,9.93,219,1.26,4181,23.98,210,1.15,18196,100.0,552,3.03
Graneros,Libertador,136,0.54,329,1.29,6729,26.48,3544,13.95,5785,22.76,2336,9.19,255,1.0,6299,24.79,270,1.03,26334,100.0,651,2.47
Litueche,Libertador,30,0.44,83,1.21,1931,28.15,893,13.02,1937,28.24,900,13.12,70,1.02,1015,14.8,98,1.36,7190,100.0,233,3.24
Lolol,Libertador,24,0.37,49,0.76,1280,19.94,786,12.24,2134,33.24,829,12.91,36,0.56,1282,19.97,111,1.66,6700,100.0,169,2.52
Machali,Libertador,167,0.43,422,1.08,9765,25.0,5285,13.53,9793,25.07,5673,14.52,598,1.53,7363,18.85,271,0.67,40253,100.0,916,2.28
Malloa,Libertador,46,0.4,129,1.13,2299,20.11,1638,14.33,3440,30.09,1177,10.29,96,0.84,2609,22.82,175,1.47,11923,100.0,314,2.63
Marchigue,Libertador,42,0.58,74,1.03,1724,23.96,1014,14.1,1987,27.62,1034,14.37,70,0.97,1249,17.36,127,1.68,7563,100.0,242,3.2
Mostazal,Libertador,135,0.66,324,1.58,5125,24.92,2775,13.49,5081,24.7,1851,9.0,214,1.04,5064,24.62,253,1.18,21453,100.0,631,2.94
Nancagua,Libertador,63,0.44,151,1.05,3236,22.54,2055,14.31,4052,28.23,1398,9.74,145,1.01,3256,22.68,176,1.18,14908,100.0,376,2.52
Navidad,Libertador,38,0.52,105,1.45,2281,31.44,1054,14.53,1647,22.7,1079,14.87,77,1.06,974,13.43,112,1.46,7647,100.0,280,3.66
Olivar,Libertador,55,0.46,147,1.24,2534,21.32,1664,14.0,3093,26.02,1275,10.73,134,1.13,2986,25.12,131,1.06,12379,100.0,360,2.91
Palmilla,Libertador,40,0.39,122,1.2,2170,21.26,1509,14.78,3107,30.44,930,9.11,98,0.96,2232,21.87,126,1.19,10594,100.0,260,2.45
Paredones,Libertador,37,0.58,79,1.24,1751,27.58,899,14.16,1920,30.24,636,10.02,36,0.57,991,15.61,109,1.65,6617,100.0,159,2.4
Peralillo,Libertador,46,0.48,121,1.26,2304,23.99,1185,12.34,2922,30.42,1174,12.22,68,0.71,1786,18.59,141,1.41,10012,100.0,265,2.65
Peumo,Libertador,70,0.6,159,1.37,3162,27.33,1241,10.73,2810,24.28,1145,9.9,109,0.94,2875,24.85,199,1.65,12090,100.0,320,2.65
Pichidegua,Libertador,68,0.42,225,1.4,3477,21.59,2201,13.66,4816,29.9,1571,9.75,118,0.73,3632,22.55,230,1.37,16766,100.0,428,2.55
Pichilemu,Libertador,107,0.65,210,1.29,4561,27.91,2254,13.79,4380,26.81,2404,14.71,193,1.18,2231,13.65,187,1.1,16976,100.0,449,2.64
Placilla,Libertador,18,0.23,97,1.23,1637,20.79,1092,13.87,2290,29.08,760,9.65,71,0.9,1909,24.24,121,1.47,8223,100.0,228,2.77
Pumanque,Libertador,36,0.93,43,1.11,862,22.21,554,14.27,1169,30.11,565,14.55,25,0.64,628,16.18,49,1.21,4049,100.0,118,2.91
Quinta de Tilcoco,Libertador,54,0.48,130,1.15,2654,23.42,1624,14.33,3429,30.26,1037,9.15,119,1.05,2283,20.15,160,1.35,11820,100.0,330,2.79
Rancagua,Libertador,1134,0.65,2242,1.28,46473,26.54,24658,14.08,37720,21.54,20851,11.91,2422,1.38,39606,22.62,1513,0.83,182182,100.0,5563,3.05
Rengo,Libertador,277,0.6,619,1.34,11283,24.42,6244,13.51,11356,24.58,4783,10.35,484,1.05,11161,24.15,607,1.26,48259,100.0,1445,2.99
Requinoa,Libertador,85,0.38,250,1.12,4400,19.68,2658,11.89,6462,28.9,2423,10.84,213,0.95,5869,26.25,225,0.97,23152,100.0,567,2.45
San Fernando,Libertador,302,0.53,695,1.22,14700,25.79,8142,14.28,14245,24.99,6539,11.47,667,1.17,11719,20.56,580,0.98,59274,100.0,1685,2.84
San Vicente,Libertador,195,0.52,498,1.33,9469,25.21,5412,14.41,9457,25.18,4897,13.04,402,1.07,7225,19.24,535,1.36,39373,100.0,1283,3.26
Santa Cruz,Libertador,152,0.52,336,1.14,6345,21.59,4324,14.71,8388,28.54,3887,13.23,309,1.05,5650,19.22,417,1.36,30667,100.0,859,2.8
la Estrella,Libertador,14,0.37,47,1.26,979,26.14,570,15.22,1001,26.73,513,13.7,31,0.83,590,15.75,35,0.9,3905,100.0,125,3.2
las Cabras,Libertador,93,0.45,243,1.18,5047,24.49,2877,13.96,6036,29.29,2027,9.84,161,0.78,4125,20.02,285,1.33,21427,100.0,533,2.49
Cauquenes,Maule,119,0.36,319,0.97,5028,15.34,5584,17.04,12539,38.25,2861,8.73,211,0.64,6117,18.66,402,1.18,34039,100.0,859,2.52
Chanco,Maule,33,0.41,74,0.93,1270,15.92,890,11.16,3717,46.61,494,6.19,35,0.44,1462,18.33,122,1.47,8289,100.0,192,2.32
Colbun,Maule,82,0.46,205,1.16,3617,20.41,2287,12.9,5564,31.39,1272,7.18,107,0.6,4591,25.9,290,1.57,18489,100.0,474,2.56
Constitucion,Maule,135,0.38,346,0.99,7042,20.06,4200,11.96,9585,27.3,2612,7.44,249,0.71,10942,31.16,440,1.21,36491,100.0,940,2.58
Curepto,Maule,39,0.45,103,1.2,2086,24.26,971,11.29,2698,31.38,978,11.37,99,1.15,1624,18.89,175,1.93,9048,100.0,275,3.04
Curico,Maule,617,0.56,1299,1.17,27354,24.64,15548,14.0,30289,27.28,12637,11.38,1452,1.31,21822,19.66,1321,1.14,115772,100.0,3433,2.97
Empedrado,Maule,13,0.34,27,0.71,339,8.91,616,16.19,1689,44.39,227,5.97,22,0.58,872,22.92,30,0.77,3897,100.0,62,1.59
Hualañe,Maule,31,0.35,100,1.13,2391,27.08,1108,12.55,2675,30.29,885,10.02,83,0.94,1557,17.63,155,1.68,9252,100.0,267,2.89
Licanten,Maule,23,0.38,62,1.04,1507,25.21,651,10.89,1849,30.93,645,10.79,47,0.79,1194,19.97,83,1.33,6224,100.0,163,2.62
Linares,Maule,311,0.42,772,1.05,15760,21.51,10895,14.87,21862,29.84,6950,9.49,610,0.83,16092,21.97,786,1.03,76027,100.0,1989,2.62
Longavi,Maule,103,0.39,275,1.05,4219,16.08,4098,15.62,9813,37.41,1585,6.04,124,0.47,6015,22.93,324,1.19,27265,100.0,709,2.6
Maule,Maule,114,0.4,309,1.07,5697,19.8,3605,12.53,8645,30.04,2541,8.83,275,0.96,7591,26.38,280,0.94,29777,100.0,720,2.42
Molina,Maule,190,0.51,488,1.32,9199,24.85,5034,13.6,10223,27.61,3147,8.5,378,1.02,8366,22.6,465,1.2,38679,100.0,1189,3.07
Parral,Maule,127,0.37,362,1.07,6381,18.8,5209,15.34,11437,33.69,2926,8.62,220,0.65,7288,21.47,446,1.26,35323,100.0,927,2.62
Pelarco,Maule,31,0.36,75,0.87,1416,16.45,1150,13.36,2927,34.0,822,9.55,68,0.79,2121,24.63,95,1.06,8954,100.0,249,2.78
Pelluhue,Maule,24,0.33,53,0.74,1318,18.28,1061,14.72,2843,39.43,582,8.07,35,0.49,1294,17.95,71,0.95,7466,100.0,185,2.48
Pencahue,Maule,22,0.24,85,0.93,1547,16.84,1225,13.33,3680,40.05,772,8.4,38,0.41,1820,19.81,98,1.03,9491,100.0,204,2.15
Rauco,Maule,37,0.41,116,1.28,1734,19.07,1356,14.91,3204,35.23,800,8.8,73,0.8,1774,19.51,130,1.36,9584,100.0,360,3.76
Retiro,Maule,54,0.31,175,1.01,2342,13.49,2550,14.68,6487,37.36,1451,8.36,109,0.63,4197,24.17,222,1.24,17975,100.0,388,2.16
Rio Claro,Maule,50,0.43,141,1.2,2078,17.69,1611,13.72,3905,33.25,1138,9.69,99,0.84,2723,23.18,203,1.65,12290,100.0,342,2.78
Romeral,Maule,59,0.44,185,1.37,2537,18.84,1945,14.44,4435,32.93,1396,10.36,136,1.01,2776,20.61,207,1.48,14028,100.0,352,2.51
Sagrada Familia,Maule,63,0.41,183,1.2,3378,22.08,1621,10.59,4808,31.42,1649,10.78,81,0.53,3518,22.99,205,1.29,15889,100.0,383,2.41
San Clemente,Maule,135,0.39,485,1.39,6757,19.33,4371,12.51,11339,32.44,2639,7.55,271,0.78,8957,25.63,469,1.28,36509,100.0,1086,2.97
San Javier,Maule,198,0.53,409,1.1,7338,19.81,4654,12.57,12249,33.07,2831,7.64,258,0.7,9102,24.57,433,1.12,38522,100.0,1050,2.73
San Rafael,Maule,29,0.35,103,1.23,1540,18.36,1030,12.28,2757,32.86,648,7.72,48,0.57,2235,26.64,91,1.05,8704,100.0,223,2.56
Talca,Maule,895,0.54,1695,1.02,44335,26.65,21588,12.97,42198,25.36,20022,12.03,2128,1.28,33530,20.15,1650,0.96,172363,100.0,4322,2.51
Teno,Maule,83,0.34,330,1.37,4349,18.04,3264,13.54,7866,32.63,2146,8.9,246,1.02,5819,24.14,322,1.28,25121,100.0,696,2.77
Vichuquen,Maule,19,0.45,32,0.75,1001,23.48,519,12.17,1514,35.51,552,12.95,37,0.87,589,13.82,78,1.76,4433,100.0,92,2.08
Villa Alegre,Maule,47,0.35,164,1.23,2460,18.46,2050,15.39,4295,32.24,1233,9.25,106,0.8,2969,22.28,185,1.33,13900,100.0,391,2.81
Yerbas Buenas,Maule,65,0.42,189,1.23,2500,16.24,2209,14.35,5194,33.75,1002,6.51,70,0.45,4161,27.04,171,1.07,16018,100.0,457,2.85
Alhue,Metropolitana,16,0.29,55,0.98,1594,28.5,721,12.89,1431,25.59,523,9.35,44,0.79,1209,21.62,79,1.36,5828,100.0,156,2.68
Buin,Metropolitana,423,0.54,933,1.19,19296,24.58,9325,11.88,24542,31.26,7541,9.61,1029,1.31,15421,19.64,712,0.88,81114,100.0,1892,2.33
Calera de Tango,Metropolitana,104,0.53,211,1.07,4527,22.93,2957,14.98,5753,29.14,2906,14.72,242,1.23,3043,15.41,191,0.94,20376,100.0,442,2.17
Cerrillos,Metropolitana,442,0.8,800,1.44,18073,32.53,7800,14.04,11605,20.89,6715,12.09,791,1.42,9335,16.8,558,0.97,57479,100.0,1360,2.37
Cerro Navia,Metropolitana,864,0.95,1512,1.66,30806,33.75,11224,12.3,18012,19.74,9246,10.13,1038,1.14,18563,20.34,1167,1.23,95099,100.0,2667,2.8
Colina,Metropolitana,408,0.43,856,0.89,15961,16.63,13808,14.39,31427,32.74,16856,17.56,1035,1.08,15629,16.28,843,0.85,98736,100.0,1913,1.94
Conchali,Metropolitana,655,0.73,1218,1.36,32397,36.12,11850,13.21,17165,19.14,11131,12.41,1153,1.29,14119,15.74,952,1.02,93571,100.0,2931,3.13
Curacavi,Metropolitana,133,0.5,313,1.18,7335,27.7,4071,15.38,6131,23.16,3228,12.19,315,1.19,4951,18.7,342,1.24,27490,100.0,671,2.44
El Bosque,Metropolitana,858,0.77,2154,1.92,36330,32.43,14622,13.05,23177,20.69,11588,10.34,1425,1.27,21888,19.54,1298,1.11,116531,100.0,3191,2.74
El Monte,Metropolitana,178,0.67,371,1.39,7117,26.65,3653,13.68,6112,22.88,2683,10.05,295,1.1,6300,23.59,418,1.5,27941,100.0,814,2.91
Estacion Central,Metropolitana,811,0.85,1230,1.28,32970,34.36,12744,13.28,19545,20.37,15377,16.02,1302,1.36,11978,12.48,1036,1.04,99740,100.0,2747,2.75
