comuna,region,jara_votos,jara_pct,kast_votos,kast_pct,blanco_votos,blanco_pct,emitidos_votos,emitidos_pct,nulo_votos,nulo_pct
Paine,Metropolitana,19951,37.24,33626,62.76,618,1.08,57093,100.0,2898,5.08
Pedro Aguirre Cerda,Metropolitana,41440,58.71,29145,41.29,699,0.93,74996,100.0,3712,4.95
Peñaflor,Metropolitana,31279,49.16,32343,50.84,846,1.24,68416,100.0,3948,5.77
Peñalolen,Metropolitana,76592,50.54,74949,49.46,2195,1.35,162253,100.0,8517,5.25
Pirque,Metropolitana,9408,43.22,12362,56.78,260,1.12,23196,100.0,1166,5.03
Providencia,Metropolitana,49047,42.87,65366,57.13,2681,2.18,123033,100.0,5939,4.83
Pudahuel,Metropolitana,75664,51.39,71584,48.61,1701,1.08,157676,100.0,8727,5.53
Puente Alto,Metropolitana,189412,53.75,163001,46.25,3877,1.02,378772,100.0,22482,5.94
Quilicura,Metropolitana,67098,52.35,61086,47.65,1391,1.01,137143,100.0,7568,5.52
Quinta Normal,Metropolitana,39692,50.52,38881,49.48,867,1.04,83344,100.0,3904,4.68
Recoleta,Metropolitana,52785,51.14,50427,48.86,1246,1.14,109595,100.0,5137,4.69
Renca,Metropolitana,49907,53.01,44234,46.99,1065,1.05,101031,100.0,5825,5.77
San Bernardo,Metropolitana,90821,47.99,98418,52.01,2270,1.11,203591,100.0,12082,5.93
San Joaquin,Metropolitana,35693,55.56,28549,44.44,775,1.13,68401,100.0,3384,4.95
San Jose de Maipo,Metropolitana,6846,51.62,6416,48.38,165,1.16,14193,100.0,766,5.4
San Miguel,Metropolitana,42466,48.18,45681,51.82,1191,1.28,93393,100.0,4055,4.34
San Pedro,Metropolitana,2538,31.11,5620,68.89,108,1.25,8637,100.0,371,4.3
San Ramon,Metropolitana,31582,52.31,28797,47.69,708,1.09,64771,100.0,3684,5.69
Santiago,Metropolitana,109915,46.12,128413,53.88,3278,1.3,252259,100.0,10653,4.22
Talagante,Metropolitana,23388,44.62,29025,55.38,674,1.2,56256,100.0,3169,5.63
Tiltil,Metropolitana,5278,38.96,8268,61.04,154,1.06,14505,100.0,805,5.55
Vitacura,Metropolitana,8552,12.87,57910,87.13,1069,1.52,70517,100.0,2986,4.23
